Label,IPLength,IPHeaderLength,TTL,           Protocol,SourcePort,DestPort,SequenceNumber,AckNumber           ,WindowSize,TCPHeaderLength,TCPLength,TCPStream     ,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51332,8883,0,0,29200,40,0,31,0,0x40,0x81e6,0xf560,0x0002,0x7f8a
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51332,8883,0,0,29200,40,0,31,0,0x40,0x81e7,0xf55f,0x0002,0x7d95
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51332,8883,0,0,29200,40,0,31,0,0x40,0x81e8,0xf55e,0x0002,0x79ac
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51332,8883,0,0,29200,40,0,31,0,0x40,0x81e9,0xf55d,0x0002,0x71d8
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51332,8883,0,0,29200,40,0,31,0,0x40,0x81ea,0xf55c,0x0002,0x6230
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,3949,4338,7264,32,85,1,0,0x40,0x73dd,0xbf63,0x0018,0x9068
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51332,8883,0,0,29200,40,0,31,0,0x40,0x81eb,0xf55b,0x0002,0x42e0
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51334,8883,0,0,29200,40,0,32,0,0x40,0x8d9f,0xe9a7,0x0002,0x9089
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51334,8883,0,0,29200,40,0,32,0,0x40,0x8da0,0xe9a6,0x0002,0x8e94
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51334,8883,0,0,29200,40,0,32,0,0x40,0x8da1,0xe9a5,0x0002,0x8aa9
